sample_index,sim_time_s,ego_x,ego_y,ego_speed_mps,obstacle_count,nearest_ttc_s,nearest_ttc_obstacle_id,nearest_ttc_reason,nearest_ttc_longitudinal_gap_m,nearest_ttc_lateral_gap_m,nearest_ttc_bumper_gap_m,nearest_ttc_bumper_gap_raw_m,nearest_ttc_closing_speed_mps,nearest_ttc_obstacle_x,nearest_ttc_obstacle_y,nearest_ttc_obstacle_v_mps,max_drac_mps2,min_pet_s,behavior_decision,fsm_state,blocking_obstacle_id,decision_reason,collision_count,last_collision_actor_type,cp_provider_source,native_opencda_available,native_opencda_required,cp_obstacle_count,lateral_offset_m,heading_error_rad,Cost_ref,Cost_LaneCenter,Cost_RoadBoundary,Cost_Repulsive,Cost_Control,road_boundary_sample_valid,road_boundary_lateral_offset_m,road_boundary_lane_width_m,road_boundary_ego_half_width_m,road_boundary_clearance_m,road_boundary_breach,road_boundary_breach_count,road_boundary_sample_count,road_boundary_breach_rate
58,10.825920114,-56.89730453491211,133.3470916748047,3.6853886427291656,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,282.42479916368774,322.5005563841632,0.0,1.367050432005869e-88,1825.9220415142897,True,2.4980018054066022e-15,3.4999999998546474,1.07,0.526054422946462,False,0,59,0.0
59,10.875920115,-57.08312225341797,133.3441619873047,3.7423512203230547,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,,,,,,True,-9.379649834606596e-15,3.499999999853681,1.07,0.5269577151082806,False,0,60,0.0
60,10.925920115,-57.271751403808594,133.34103393554688,3.7968553811661137,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,,,,,,True,-1.235990476633475e-14,3.4999999998529705,1.07,0.5283081386146785,False,0,61,0.0
61,10.975920116,-57.46305465698242,133.33782958984375,3.849147334687976,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,13.54172577603945,12.785959062765462,0.0,4.417554308932056e-87,219.05946631379555,True,-2.8293339893181724e-15,3.499999999854022,1.07,0.5292914053892407,False,0,62,0.0
62,11.025920117,-57.65694808959961,133.33445739746094,3.899808840339289,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,,,,,,True,3.290770433928003e-15,3.4999999998530273,1.07,0.5293500438520277,False,0,63,0.0
63,11.075920118,-57.85334014892578,133.3310089111328,3.9489077295361943,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,279.18996408654425,349.873951518395,0.0,4.784772590891846e-86,2283.523389785871,True,3.526692826660849e-15,3.4999999998496736,1.07,0.5282227610866729,False,0,64,0.0
64,11.125920118,-58.05215072631836,133.32725524902344,3.9968235977313924,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,,,,,,True,-7.062059270701582e-15,3.49999999984867,1.07,0.5267293824918396,False,0,65,0.0
65,11.175920119,-58.25332260131836,133.32334899902344,4.04344898059488,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,,,,,,True,5.7592819402429996e-15,3.4999999998475504,1.07,0.5255070509157415,False,0,66,0.0
66,11.22592012,-58.45680618286133,133.31912231445312,4.089093712190719,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,10.816955440327481,11.986001200727248,0.0,1.4282841922129524e-81,103.73315495696285,True,1.23113325090074e-14,3.499999999848858,1.07,0.5239644375958757,False,0,67,0.0
67,11.275920121,-58.66252899169922,133.3146514892578,4.133511766005768,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,,,,,,True,-9.797718192317006e-15,3.4999999998477973,1.07,0.5226822802123104,False,0,68,0.0
